product_id,name,category,brand,unit_price,unit_cost
1,Clothing Item 1,Accessories,ClassyWear,102.03,48.0
2,Clothing Item 2,Pants,FashionX,152.97,71.73
3,Clothing Item 3,Accessories,ClassyWear,42.4,55.18
4,Clothing Item 4,Pants,StreetVibe,139.81,72.7
5,Clothing Item 5,Accessories,FashionX,39.87,52.77
6,Clothing Item 6,Jackets,ClassyWear,195.86,49.57
7,Clothing Item 7,Shirts,TrendyStyle,161.58,99.16
8,Clothing Item 8,Jackets,TrendyStyle,97.59,61.48
9,Clothing Item 9,Pants,TrendyStyle,81.99,37.9
10,Clothing Item 10,Jackets,ClassyWear,154.45,25.32
11,Clothing Item 11,Accessories,TrendyStyle,186.43,19.34
12,Clothing Item 12,Jackets,FashionX,113.12,46.64
13,Clothing Item 13,Accessories,FashionX,80.3,31.34
14,Clothing Item 14,Accessories,FashionX,50.17,46.94
15,Clothing Item 15,Shirts,StreetVibe,108.33,17.49
16,Clothing Item 16,Pants,ClassyWear,51.29,33.65
17,Clothing Item 17,Pants,FashionX,83.15,53.16
18,Clothing Item 18,Accessories,ClassyWear,49.82,81.17
19,Clothing Item 19,Accessories,FashionX,182.82,36.36
20,Clothing Item 20,Accessories,StreetVibe,131.43,94.43
21,Clothing Item 21,Shirts,FashionX,88.3,75.03
22,Clothing Item 22,Shirts,StreetVibe,182.96,16.52
23,Clothing Item 23,Accessories,TrendyStyle,111.36,56.66
24,Clothing Item 24,Shirts,StreetVibe,82.65,61.2
25,Clothing Item 25,Jackets,StreetVibe,87.68,97.62
26,Clothing Item 26,Accessories,ClassyWear,119.03,40.54
27,Clothing Item 27,Pants,TrendyStyle,94.41,48.78
28,Clothing Item 28,Accessories,TrendyStyle,41.36,47.22
29,Clothing Item 29,Jackets,TrendyStyle,100.12,81.98
30,Clothing Item 30,Pants,TrendyStyle,143.44,22.73
31,Clothing Item 31,Shirts,ClassyWear,193.73,45.05
32,Clothing Item 32,Accessories,FashionX,146.63,87.9
33,Clothing Item 33,Jackets,FashionX,33.43,51.32
34,Clothing Item 34,Accessories,StreetVibe,156.19,26.87
35,Clothing Item 35,Pants,TrendyStyle,85.52,97.42
36,Clothing Item 36,Accessories,FashionX,27.15,20.25
37,Clothing Item 37,Accessories,ClassyWear,33.86,48.28
38,Clothing Item 38,Jackets,ClassyWear,37.53,95.7
39,Clothing Item 39,Accessories,ClassyWear,32.5,73.38
40,Clothing Item 40,Pants,TrendyStyle,148.32,39.38
41,Clothing Item 41,Jackets,StreetVibe,154.39,60.75
42,Clothing Item 42,Accessories,FashionX,85.82,56.14
